week,user,device,subscription,tenure,state,post_code,customer_experience_rank,area_experience_state_rank,area_experience_post_code_rank,customer_base_rank(data+voice),customer_base_rank(data),probing_eea_customer,crowd_data_customer,complaint_data_customer,customer_base_rank(voice),probing_netscout_customer,crowd_voice_customer,complaint_voice_customer,sector_base_rank,ran_sector,probing_sector,crowd_sector,complaint_sector,additional_sector,probing_sector_eea,probing_sector_netscout,complaint_data_sector,complaint_voice_sector,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s1_score,s2_score,s3_score,s4_score,s5_score,s6_score,s7_score,s8_score,s9_score,s10_score,s1-duration_%,s2-duration_%,s3-duration_%,s4-duration_%,s5-duration_%,s6-duration_%,s7-duration_%,s8-duration_%,s9-duration_%,s10-duration_%,s1-ran,s2-ran,s3-ran,s4-ran,s5-ran,s6-ran,s7-ran,s8-ran,s9-ran,s10-ran,s1-probing_sector_eea,s2-probing_sector_eea,s3-probing_sector_eea,s4-probing_sector_eea,s5-probing_sector_eea,s6-probing_sector_eea,s7-probing_sector_eea,s8-probing_sector_eea,s9-probing_sector_eea,s10-probing_sector_eea,s1-probing_sector_netscout,s2-probing_sector_netscout,s3-probing_sector_netscout,s4-probing_sector_netscout,s5-probing_sector_netscout,s6-probing_sector_netscout,s7-probing_sector_netscout,s8-probing_sector_netscout,s9-probing_sector_netscout,s10-probing_sector_netscout,s1-crowd,s2-crowd,s3-crowd,s4-crowd,s5-crowd,s6-crowd,s7-crowd,s8-crowd,s9-crowd,s10-crowd,s1-complaint-voice,s2-complaint-voice,s3-complaint-voice,s4-complaint-voice,s5-complaint-voice,s6-complaint-voice,s7-complaint-voice,s8-complaint-voice,s9-complaint-voice,s10-complaint-voice,s1-complaint-data,s2-complaint-data,s3-complaint-data,s4-complaint-data,s5-complaint-data,s6-complaint-data,s7-complaint-data,s8-complaint-data,s9-complaint-data,s10-complaint-data,s1-churn_score,s2-churn_score,s3-churn_score,s4-churn_score,s5-churn_score,s6-churn_score,s7-churn_score,s8-churn_score,s9-churn_score,s10-churn_score,zone,user_usage_data_volume(gb),primary_data_usage_pattern_user,s1_usage_data_volume(gb),primary_data_usage_pattern_sector,s1_churned_users,s2_churned_users,s3_churned_users,s4_churned_users,s5_churned_users,s6_churned_users,s7_churned_users,s8_churned_users,s9_churned_users,s10_churned_users,s1_customer_eea,s2_customer_eea,s3_customer_eea,s4_customer_eea,s5_customer_eea,s6_customer_eea,s7_customer_eea,s8_customer_eea,s9_customer_eea,s10_customer_eea,total_call_by_user,worst_sec1,worst_sec2,worst_sec3,capacity_worst_sec1,accessibility_worst_sec1,quality_worst_sec1,capacity_worst_sec2,accessibility_worst_sec2,quality_worst_sec2,capacity_worst_sec3,accessibility_worst_sec3,quality_worst_sec3,s1_churn_ratio,s2_churn_ratio,s3_churn_ratio,s4_churn_ratio,s5_churn_ratio,s6_churn_ratio,s7_churn_ratio,s8_churn_ratio,s9_churn_ratio,s10_churn_ratio,s1_city,s10_city,s2_city,s3_city,s4_city,s5_city,s6_city,s7_city,s8_city,s9_city,worst_sec1_city,worst_sec2_city,worst_sec3_city,complaint_rfc_fault,s1_complaint_count,s2_complaint_count,s3_complaint_count,s4_complaint_count,s5_complaint_count,s6_complaint_count,s7_complaint_count,s8_complaint_count,s9_complaint_count,s10_complaint_count,primary_voice_usage_pattern_user,user_category
24/03/2025,EEHHEJBBBGCC,Apple iPhone 12 (A2403),-,-,NSW,2541,69,75,81,82,63,25,-,100,100,-,-,100,56,66,88,25,100,0,80,95,100,100,202721_2,-,-,-,-,-,-,-,-,-,73,-,-,-,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-,-,66,-,-,-,-,-,-,-,-,-,80,-,-,-,-,-,-,-,-,-,95,-,-,-,-,-,-,-,-,-,25,-,-,-,-,-,-,-,-,-,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-,-,-,-,-,-,-,-,-,-,Zone3,-,-,19.76,Normal Data User,-,-,-,-,-,-,-,-,-,-,1192,-,-,-,-,-,-,-,-,-,-,202721_2,-,-,30,100,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sussex Inlet,-,-,-,-,-,-,-,-,-,Sussex Inlet,-,-,-,-,-,-,-,-,-,-,-,-,-,Normal Voice User,-
24/03/2025,GBEBGBEBGCG,Mobiwire Pro 4G,$45 Pay and Go.,-,VIC,3225,69,69,84,83,100,100,-,100,65,29.999999999999982,-,100,55,74,85,8,100,8,74,96,100,100,303991_1,303989_2,303232_2,303186_2,303462_2,340216_3,303186_1,303232_3,303232_1,303111_2,69,80,81,70,78,72,76,76,72,83,71.73,4.79,3.15,2.8,1.52,1.52,1.4,1.4,1.29,1.17,73,78,76,83,74,76,76,78,83,71,75,75,70,65,65,90,70,65,75,75,95,95,100,100,100,95,100,95,100,100,-,50,70,-,60,-,45,50,-,70,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-,-,100,-,100,-,100,100,-,-,Zone2,0,Normal Data User,24.82,Normal Data User,-,-,4,-,2,-,2,1,-,-,3129,9403,8510,1087,9753,2577,4355,11189,1917,7638,3,303991_1,303186_2,340216_3,60,100,80,91,83,80,80,100,60,-,-,0,-,0,-,0,0,-,-,Point Lonsdale,Ocean Grove,Drysdale,Queenscliff,Portarlington,LEOPOLD,Indented Head,Portarlington,Queenscliff,Queenscliff,Point Lonsdale,Portarlington,Indented Head,-,-,-,-,-,-,-,-,-,-,-,Normal Voice User,CAT 4
24/03/2025,GECBCAIBAGC,Unknown,-,-,NSW,2096,69,75,80,82,63,25,-,100,100,-,-,100,55,79,95,0,100,0,90,100,100,100,201628_1,-,-,-,-,-,-,-,-,-,74,-,-,-,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-,-,79,-,-,-,-,-,-,-,-,-,90,-,-,-,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-,-,-,-,-,-,-,-,-,-,Zone1,-,-,101.16,Normal Data User,-,-,-,-,-,-,-,-,-,-,8717,-,-,-,-,-,-,-,-,-,-,201628_1,-,-,85,85,69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Harbord,-,-,-,-,-,-,-,-,-,Harbord,-,-,-,-,-,-,-,-,-,-,-,-,-,Normal Voice User,-
24/03/2025,GDJJFJDDBBII,HUAWEI Y7 2019,-,-,VIC,3782,69,69,77,82,63,25,-,100,100,-,-,100,55,78,78,20,100,0,60,95,100,100,303367_2,-,-,-,-,-,-,-,-,-,71,-,-,-,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-,-,78,-,-,-,-,-,-,-,-,-,60,-,-,-,-,-,-,-,-,-,95,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-,-,-,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-,-,-,-,-,-,-,-,-,-,Zone2,-,-,67.41,Normal Data User,-,-,-,-,-,-,-,-,-,-,3795,-,-,-,-,-,-,-,-,-,-,303367_2,-,-,83,84,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Emerald,-,-,-,-,-,-,-,-,-,Emerald,-,-,-,-,-,-,-,-,-,-,-,-,-,Normal Voice User,-
24/03/2025,IFCBJACECCFGFCI,SmartGo SG-PWF39,-,-,NSW,2847,69,75,62,82,63,25,-,100,100,-,-,100,56,72,90,20,100,0,90,90,100,100,201553_1,-,-,-,-,-,-,-,-,-,74,-,-,-,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-,-,72,-,-,-,-,-,-,-,-,-,90,-,-,-,-,-,-,-,-,-,90,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-,-,-,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-,-,-,-,-,-,-,-,-,-,Zone2,-,-,3.41,Normal Data User,-,-,-,-,-,-,-,-,-,-,1049,-,-,-,-,-,-,-,-,-,-,201553_1,-,-,50,99,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Portland,-,-,-,-,-,-,-,-,-,Portland,-,-,-,-,-,-,-,-,-,-,-,-,-,Normal Voice User,-
24/03/2025,GFJDIJEJJF,Apple iPhone 12 Pro (A2407),-,-,NSW,2790,69,75,77,82,63,25,-,100,100,-,-,100,55,78,83,15,100,0,80,85,100,100,240332_2,-,-,-,-,-,-,-,-,-,72,-,-,-,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-,-,78,-,-,-,-,-,-,-,-,-,80,-,-,-,-,-,-,-,-,-,85,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-,-,-,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-,-,-,-,-,-,-,-,-,-,Zone3,-,-,5.05,Normal Data User,-,-,-,-,-,-,-,-,-,-,1075,-,-,-,-,-,-,-,-,-,-,240332_2,-,-,90,99,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ben Bullen,-,-,-,-,-,-,-,-,-,Ben Bullen,-,-,-,-,-,-,-,-,-,-,-,-,-,Normal Voice User,-
24/03/2025,GDJJCIIFJEAD,Guangdong CPH2387,-,-,NSW,2795,69,75,81,82,63,25,-,100,100,-,-,100,56,78,80,20,100,0,65,95,100,100,228227_1,-,-,-,-,-,-,-,-,-,72,-,-,-,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-,-,78,-,-,-,-,-,-,-,-,-,65,-,-,-,-,-,-,-,-,-,95,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-,-,-,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-,-,-,-,-,-,-,-,-,-,Zone2,-,-,2.83,Normal Data User,-,-,-,-,-,-,-,-,-,-,2895,-,-,-,-,-,-,-,-,-,-,228227_1,-,-,100,99,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Eglinton,-,-,-,-,-,-,-,-,-,Eglinton,-,-,-,-,-,-,-,-,-,-,-,-,-,Normal Voice User,-
24/03/2025,GGJCIHBAHBA,Samsung Galaxy A52s 5G,-,-,QLD,4737,69,66,67,90,80,60,-,100,100,-,-,100,48,71,68,0,100,0,40,95,100,100,404537_1,-,-,-,-,-,-,-,-,-,61,-,-,-,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-,-,71,-,-,-,-,-,-,-,-,-,40,-,-,-,-,-,-,-,-,-,95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-,-,-,-,-,-,-,-,-,-,Zone2,-,-,56.28,Normal Data User,-,-,-,-,-,-,-,-,-,-,1604,-,-,-,-,-,-,-,-,-,-,404537_1,-,-,58,82,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sarina,-,-,-,-,-,-,-,-,-,Sarina,-,-,-,-,-,-,-,-,-,-,-,-,-,Normal Voice User,-
24/03/2025,GBEBECGCBBI,Google Pixel 8,-,-,QLD,4059,69,66,85,57,50,0,-,100,63,25,-,100,81,75,82,68,100,80,64,99,100,100,404429_3,404434_1,404953_1,440206_3,477083_2,606043_1,303202_1,220212_3,227385_3,303138_1,81,78,83,81,83,75,76,68,74,76,35.42,14.58,10.42,6.25,6.25,6.25,4.17,2.08,2.08,2.08,74,73,78,81,79,66,81,85,68,76,65,70,70,45,75,55,55,55,50,50,100,95,100,100,100,100,100,100,100,95,75,60,65,80,70,65,55,20,60,70,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-,-,100,100,100,60,100,100,Zone1,-,-,750.25,Heavy Data User,4,6,-,-,1,13,1,4,9,3,25288,91427,29300,10760,27643,51455,127128,658,92466,20366,2,220212_3,227385_3,606043_1,95,91,100,41,90,69,27,83,62,0,0,-,-,0,0,0,0.6,0,0,Red Hill,Doncaster East,Herston,Brisbane,Banyo,Kedron,Belmont,South Melbourne,North Sydney,Lakemba,North Sydney,Lakemba,Belmont,-,-,-,-,-,-,-,-,-,-,-,Normal Voice User,-
24/03/2025,GBECEFFCAJB,Shenzhen C403H,-,-,QLD,4128,69,66,88,85,70,40,-,100,100,-,-,100,53,84,83,0,100,0,65,100,100,100,404157_1,-,-,-,-,-,-,-,-,-,70,-,-,-,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-,-,84,-,-,-,-,-,-,-,-,-,65,-,-,-,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-,-,-,-,-,-,-,-,-,-,Zone2,-,-,56.23,Normal Data User,-,-,-,-,-,-,-,-,-,-,964,-,-,-,-,-,-,-,-,-,-,404157_1,-,-,100,88,88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Shailer Park,-,-,-,-,-,-,-,-,-,Shailer Park,-,-,-,-,-,-,-,-,-,-,-,-,-,Normal Voice User,-
